"Participant","uppercase.value","maps.to.sex.concept","updated.mapping","in.field","with.label.type","in.language","with.n..Occurrences...","notes","Before.Good","Total.Before","JLC.working"
"Tom Trombone","FEMALE ?;NOT RECORDED","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",1,"NOT RECORDED","",0,"FEMALE"
"Tamaki Yuri","FEMALE (? - SEE NOTE)/MALE (? - SEE NOTE)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"SEE NOTE        SEE NOTE","",0,"MIXED"
"Philip Unitt","FEMALE (?, SEE NOTE)","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",1,"SEE NOTE","",0,"FEMALE"
"John Bates","FEMALE (?)","UNKNOWN","","sex","hidden","EN",67,NA,"",0,"FEMALE"
"Angela Hornsby","FEMALE ('MAY BE')","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",3,"MAY BE","",0,"FEMALE"
"Kimball Garrett","FEMALE ('NOT BREEDING' ON LABEL)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"NOT BREEDING  ON LABEL","",0,"FEMALE"
"Mimi Damwyk","FEMALE ('PROBABLY')","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"PROBABLY","",0,"FEMALE"
"Tonya Haff","FEMALE (BASED ON FALCONER)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"BASED ON FALCONER","",0,"FEMALE"
"Tamaki Yuri","FEMALE (BELIEVED TO BE)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"BELIEVED TO BE","",0,"FEMALE"
"Lesley Kennes","FEMALE (BUT SEE NOTES)","FEMALE","female","sex","hidden","EN",3,"BUT SEE NOTES","",0,"FEMALE"
"Chris Milensky","FEMALE (BY GONADS)","FEMALE","female","sex","hidden","EN",129,"BY GONADS","",0,"FEMALE"
"Paul Robert Sweet","FEMALE (BY GONADS))","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"BY GONADS","",0,"FEMALE"
"Jessica Tir","FEMALE (BY PLUMAGE)","FEMALE","female","sex, dynamicProperties","hidden","EN",52,"BY PLUMAGE","",0,"FEMALE"
"Andrew Engilis","FEMALE (FIDE SCLATER 1888, CAT. BDS. BRIT. MUS., 14 P.66)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FIDE SCLATER 1888  CAT  BDS  BRIT  MUS   14 P 66","",0,"FEMALE"
"Laura Abraczinskas","FEMALE (FIDE SCLATER, 1888, CAT. BDS. BRIT. MUS., 14 P.66.)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FIDE SCLATER  1888  CAT  BDS  BRIT  MUS   14 P 66","",0,"FEMALE"
"Paul Robert Sweet","FEMALE (IDENTIFIED LATER AS)","FEMALE","female","sex","hidden","EN",1,"IDENTIFIED LATER AS","",0,"FEMALE"
"Elizabeth Wommack","FEMALE (IN REGISTER)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"IN REGISTER","",0,"FEMALE"
"Lesley Kennes","FEMALE (LATER IDENTIFIED AS)","FEMALE","female","sex","hidden","EN",2,"LATER IDENTIFIED AS","",0,"FEMALE"
"Mike Andersen ","FEMALE (MALE, ON LABEL)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"ON LABEL","",0,"MIXED"
"Angela Hornsby","FEMALE (ON LABEL)","FEMALE","female","sex, dynamicProperties","hidden","EN",42,"ON LABEL","",0,"FEMALE"
"Elizabeth Wommack","FEMALE (ON LABEL)/MALE (IN TEXT)","FEMALE | MALE","mixed","sex, dynamicProperties","hidden","EN",1,"ON LABEL    IN TEXT","",0,"MIXED"
"Lesley Kennes","FEMALE (ON PLUMAGE)","FEMALE","female","sex","hidden","EN",1,"ON PLUMAGE","",0,"FEMALE"
"Kelly Cassidy","FEMALE (OR IMMATURE)","FEMALE","female","sex, lifeStage, dynamicProperties","hidden","EN",1,"OR IMMATURE","",0,"FEMALE"
"Serina Brady","FEMALE (SEE NOTE)","FEMALE","female","sex, dynamicProperties","hidden","EN",2,"SEE NOTE","",0,"FEMALE"
"Kelly Cassidy","FEMALE (SEE NOTES)","FEMALE","female","sex, dynamicProperties","hidden","EN",2,"SEE NOTES","",0,"FEMALE"
"Philip Unitt","FEMALE (SUBSEQUENTLY CONSIDERED TO BE MALE)","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"SUBSEQUENTLY CONSIDERED TO BE","",0,"MIXED"
"Jean Woods","FEMALE (SUBSEQUENTLY SEXED AS)","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"SUBSEQUENTLY SEXED AS","",0,"FEMALE"
"Angela Hornsby","FEMALE (WATER-COLOUR DRAWING)","FEMALE","female","sex, preparations","hidden","EN",1,"WATER COLOUR DRAWING","",0,"FEMALE"
"Elizabeth Wommack","FEMALE | MALE","FEMALE | MALE","mixed","sex","preferred","EN",5,NA,"",0,"MIXED"
"Jessica Tir","FEMALE AND JUVENILE","FEMALE","female","sex, lifeStage","hidden","EN",1,"AND JUVENILE","",0,"FEMALE"
"Mimi Damwyk","FEMALE FEMALE","FEMALE","female","sex","hidden","EN",111,NA,"",0,"FEMALE"
"Mike Andersen ","FEMALE MALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,NA,"",0,"MIXED"
"Christopher C Witt","FEMALE, [MALE]","FEMALE | MALE","mixed","sex, dynamicProperties","hidden","EN",4,NA,"",0,"MIXED"
"John Bates","FEMALE; BASED ON PLUMAGE","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"BASED ON PLUMAGE","",0,"FEMALE"
"Jeremiah Trimble","FEMALE; FEMALE","FEMALE","female","sex","hidden","EN",206,NA,"",0,"FEMALE"
"Jean Woods","FEMALE; FEMALE ?","FEMALE","female","sex, dynamicProperties","hidden","EN",2,NA,"",0,"FEMALE"
"John Bates","FEMALE; MALE","MALE | FEMALE","mixed","sex, dynamicProperties","preferred","EN",8,NA,"",0,"MIXED"
"Jessica Tir","FEMALE; RECORDED AS UNKNOWN","FEMALE","female","sex, dynamicProperties","hidden","EN",3,"RECORDED AS UNKNOWN","",0,"FEMALE"
"Elizabeth Wommack","FEMALE; UNKNOWN","FEMALE | UNKNOWN","female","sex","preferred","EN",2,"UNKNOWN","",0,"FEMALE"
"Mike Andersen ","FEMALE;FEMALE","FEMALE","female","sex","hidden","EN",69,NA,"",0,"FEMALE"
"John Bates","FEMALE;MALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",5,NA,"",0,"MIXED"
"Laura Abraczinskas","FEMALE;RECORDED AS UNKNOWN","FEMALE | UNKNOWN","female","sex","hidden","EN",11,"RECORDED AS UNKNOWN","",0,"FEMALE"
"Irene Engilis","FEMALE;UNKNOWN","FEMALE","female","sex, dynamicProperties","hidden","EN",6,"UNKNOWN","",0,"FEMALE"
"Irene Engilis","FEMALE?","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",327,NA,"",0,"FEMALE"
"Philip Unitt","FEMALE/MALE","UNKNOWN","","sex","hidden","EN",4,NA,"",0,"MIXED"
"Brett Benz","FEMALE/MALE (ON LABEL)","FEMALE | MALE","mixed","sex, dynamicProperties","hidden","EN",1,"ON LABEL","",0,"MIXED"
