"Participant","uppercase.value","maps.to.sex.concept","updated.mapping","in.field","with.label.type","in.language","with.n..Occurrences...","notes","Before.Good","Total.Before","JLC.working"
"Jeremiah Trimble","GYNANDROMORPH;GYNANDROMORPH","ATYPICAL","","sex, dynamicProperties","hidden","EN",2,"GYNANDROMORPH;GYNANDROMORPH","",0,"ATYPICAL"
"Chris Milensky","H","FEMALE","female","sex","hidden","ES",1,"H","",0,"UNSPECIFIED"
"Stephen Rogers","HANE","MALE","","sex","preferred","SV",1264,"HANE","",0,"MALE"
"Jessica Tir","HANE, HONA","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","SV",1,"HANE, HONA","",0,"MALE"
"Stephen Rogers","HATCHLING","blank","not specified","lifeStage","","EN",2,"HATCHLING","",0,"UNSPECIFIED"
"Dianna M. Krejsa","HEMBRA","FEMALE","female","sex","preferred","ES",120673,"HEMBRA","",0,"FEMALE"
"Tom Trombone","HEMBRA Y MACHO","FEMALE | MALE","mixed","sex","hidden","ES",4,"HEMBRA Y MACHO","",0,"MIXED"
"Rachel Alsheikh","HERMAPHRODITE","ATYPICAL","","sex","alternate","EN",9,"HERMAPHRODITE","",0,"ATYPICAL"
"Ildiko Szabo","HMEBRA","FEMALE","female","sex","hidden","ES",1,"HMEBRA","",0,"UNSPECIFIED"
"Mike Andersen ","HONA","FEMALE","female","sex","hidden","SV",759,"HONA","",0,"UNSPECIFIED"
"Emily Braker","HONA, ÅDA","FEMALE","female","sex, dynamicProperties","hidden","SW",1,"HONA, ÅDA","",0,"UNSPECIFIED"
"John Bates","I","UNKNOWN","","sex","hidden","EN",1,"I","",0,"UNSPECIFIED"
"Molly Hagemann","IMMATURE","blank","not specified","lifeStage","","EN",2,"IMMATURE","",0,"UNSPECIFIED"
"Jean Woods","IMT","blank","not specified","lifeStage","","EN",1,"IMT","",0,"UNSPECIFIED"
"Serina Brady","IN QUESTION","UNKNOWN","","sex","hidden","EN",8442,"IN QUESTION","",0,"UNSPECIFIED"
"Jessica Tir","IND.","UNKNOWN","","sex","hidden","EN",4,"IND.","",0,"UNSPECIFIED"
"Elizabeth Wommack","INDEFINIDO","UNKNOWN","","sex","hidden","ES",2,"INDEFINIDO","",0,"UNKNOWN"
"Tonya Haff","INDETERMINABLE","UNKNOWN","","sex","alternate","EN",4015,"INDETERMINABLE","",0,"UNSPECIFIED"
"Peter Hosner","INDETERMINADA","UNKNOWN","","sex","alternate","ES",2,"INDETERMINADA","",0,"UNSPECIFIED"
"Kelly Cassidy","INDETERMINADO","UNKNOWN","","sex","alternate","ES",2445,"INDETERMINADO","",0,"UNSPECIFIED"
"Brian Schmidt","INDETERMINAT","UNKNOWN","","sex","hidden","",196,"INDETERMINAT","",0,"UNSPECIFIED"
"Rachel Alsheikh","INDETERMINATE","UNKNOWN","","sex","alternate","EN",1082,"INDETERMINATE","",0,"UNKNOWN"
"Irene Engilis","INDÉTERMINÉ","UNKNOWN","","sex","hidden","FR",12504,"INDÉTERMINÉ","",0,"UNSPECIFIED"
"Jean Woods","INTERSEX (M&F)","ATYPICAL","","sex","alternate","EN",3,"INTERSEX (M&F)","",0,"MIXED"
"Tamaki Yuri","J","blank","not specified","lifestage","","EN",610,"J","",0,"UNSPECIFIED"
"Serina Brady","JEUNE","blank","not specified","lifeStage","","FR",1,"JEUNE","",0,"UNSPECIFIED"
"Kelly Cassidy","JOV","blank","not specified","lifeStage","","ES",13,"JOV","",0,"UNSPECIFIED"
"Molly Hagemann","JOV.","blank","not specified","lifeStage","","ES",1,"JOV.","",0,"UNSPECIFIED"
"Town Peterson","JUV","blank","not specified","lifeStage","","EN",1,"JUV","",0,"UNSPECIFIED"
"Mike Andersen ","JUV FEMALE","FEMALE","female","sex, lifeStage","hidden","EN",1,"JUV FEMALE","",0,"FEMALE"
"Jessica Tir","JUVENIL","blank","not specified","lifeStage","","ES",2,"JUVENIL","",0,"UNSPECIFIED"
"Erick Alejandro García-Trejo","JUVENILE","UNKNOWN","","sex, lifeStage","hidden","EN",377,"JUVENILE","",0,"UNSPECIFIED"
"Mimi Damwyk","JUVÉNILE","blank","not specified","lifeStage","","FR",1,"JUVÉNILE","",0,"UNSPECIFIED"
"Rachel Alsheikh","K","blank","not specified","","","",1,"K","",0,"UNSPECIFIED"
"Angela Hornsby","L","blank","not specified","","","",1,"L","",0,"UNSPECIFIED"
"Ildiko Szabo","LT 131, EA 140, PESO 6","blank ","not specified","dynamicProperties","","ES",1,"LT 131, EA 140, PESO 6","",0,"UNSPECIFIED"
"Jean Woods","M","MALE","","sex","hidden","EN",280985,"M","1",280985,"MALE"
"Brett Benz","M ?","MALE","","sex, dynamicProperties","hidden","EN",93,"M ?","",0,"INDETERMINATE"
"René Corado","M ? BY PLUMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M ? BY PLUMAGE","",0,"INDETERMINATE"
"Chris Milensky","M (BY PLUMAGE)","MALE","","sex, dynamicProperties","hidden","EN",4,"M (BY PLUMAGE)","",0,"MALE"
"Erica Krimmel","M [?]","MALE","","sex, dynamicProperties","hidden","EN",1,"M [?]","",0,"INDETERMINATE"
"Elizabeth Wommack","M [BY PLUMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M [BY PLUMAGE","",0,"MALE"
"Carla Cicero","M [F]","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"M [F]","",0,"MIXED"
"John Bates","M ATIVO","MALE","","sex, dynamicProperties","hidden","ES",2,"M ATIVO","",0,"MALE"
"Molly Hagemann","M BY PLUMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M BY PLUMAGE","",0,"MALE"
"John Bates","M BY PLUMAGE *","MALE","","sex","hidden","EN",3,"M BY PLUMAGE *","",0,"MALE"
"Angela Hornsby","M BY PLUMMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M BY PLUMMAGE","",0,"MALE"
"Elizabeth Wommack","M IMT.","MALE","","sex, lifeStage","hidden","EN",3,"M IMT.","",0,"MALE"
"Carla Cicero","M JOV","MALE","","sex, lifeStage","hidden","EN",3,"M JOV","",0,"MALE"
"Irene Engilis","M JOV.","MALE","","sex, lifeStage","hidden","ES",31,"M JOV.","",0,"MALE"
"Stephen Rogers","M PROB","MALE","","sex, dynamicProperties","hidden","EN",10,"M PROB","",0,"MALE"
"Kimball Garrett","M PROBABLY","MALE","","sex, dynamicProperties","hidden","EN",5,"M PROBABLY","",0,"MALE"
"John Bates","M-GONADS","MALE","","sex, reproductiveCondition","hidden","EN",4386,"M-GONADS","",0,"MALE"
"Erica Krimmel","M-PLUMAGE","MALE","","sex","hidden","EN",16,"M-PLUMAGE","",0,"MALE"
"Angela Hornsby","M-VERIFIED","MALE","","sex","hidden","EN",431,"M-VERIFIED","",0,"MALE"
"Jean Woods","M, F","MALE | FEMALE","mixed","sex","hidden","EN",1,"M, F","",0,"MIXED"
"Carla Cicero","M, SEXED BY PLUMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M, SEXED BY PLUMAGE","",0,"MALE"
"Erick Alejandro García-Trejo","M, THIS SPECIMEN IS SEXED ON THE BASIS OF THE NASA","MALE","","sex, dynamicProperties","hidden","EN",2,"M, THIS SPECIMEN IS SEXED ON THE BASIS OF THE NASA","",0,"MALE"
"Angela Hornsby","M,F","MALE | FEMALE","mixed","sex","hidden","EN",1,"M,F","",0,"MIXED"
"Laura Abraczinskas","M?","MALE","","sex, dynamicProperties","hidden","",2063,"M?","",0,"INDETERMINATE"
"Moe Flannery","M? *","MALE","","sex, dynamicProperties","hidden","EN",1,"M? *","",0,"INDETERMINATE"
"Brett Benz","M?*","MALE","","sex, dynamicProperties","hidden","EN",2,"M?*","",0,"INDETERMINATE"
"Philip Unitt","M‚LE","MALE","","sex","hidden","EN, FR",14,"M‚LE","",0,"MALE"
"Chris Milensky","M(?)","MALE","","sex, dynamicProperties","hidden","EN",14,"M(?)","",0,"INDETERMINATE"
"Tom Trombone","M(3)","MALE","","sex, dynamicProperties","hidden","EN",1,"M(3)","",0,"MALE"
"Town Peterson","M]","MALE","","sex","hidden","EN",743,"M]","",0,"MALE"
"Jeremiah Trimble","M*","MALE","","sex, dynamicProperties","hidden","EN",23,"M*","",0,"MALE"
"Moe Flannery","M/F","UNKNOWN","","sex, dynamicProperties","hidden","EN",3,"M/F","",0,"MIXED"
"Angela Hornsby","M+F","MALE | FEMALE","mixed","sex","hidden","EN",3,"M+F","",0,"MIXED"
"Brian Schmidt","M<","MALE","","sex","hidden","EN",1,"M<","",0,"MALE"
"Jean Woods","M=F","ATYPICAL","","sex","hidden","EN",1,"M=F","",0,"MIXED"
"Erick Alejandro García-Trejo","MA","MALE","","sex","hidden","EN",1,"MA","",0,"UNSPECIFIED"
"Ildiko Szabo","MACHO","MALE","","sex","preferred","ES",180951,"MACHO","",0,"MALE"
"Philip Unitt","MACHO INMADURO","MALE","","sex, lifeStage","hidden","ES",1,"MACHO INMADURO","",0,"MALE"
"Jessica Tir","MACHO JUVENIL","MALE","","sex, lifeStage","hidden","ES",1,"MACHO JUVENIL","",0,"MALE"
"Stephen Rogers","MACHO Y HEMBRA","ATYPICAL ","","sex","hidden","ES",1,"MACHO Y HEMBRA","",0,"MIXED"
"Philip Unitt","MACHP","MALE","","sex","hidden","ES",1,"MACHP","",0,"UNSPECIFIED"
"Jeremiah Trimble","MACROCONCH MALE","MALE","","sex, dynamicProperties","hidden","EN",1,"MACROCONCH MALE","",0,"MALE"
"Town Peterson","MAKE","MALE","","sex","hidden","EN",1,"MAKE","",0,"UNSPECIFIED"
"Town Peterson","MALE","MALE","","sex","preferred","EN",2431446,"MALE","1",2431446,"MALE"
"Jean Woods","MÂLE","MALE","","sex","preferred","FR",23088,"MÂLE","",0,"MALE"
"Andrew Engilis","MÂLE : ?","MALE","","sex, dynamicProperties","hidden","FR",6,"MÂLE : ?","",0,"INDETERMINATE"
"Chris Milensky","MÂLE : 2 ANS","MALE","","sex","hidden","FR",1,"MÂLE : 2 ANS","",0,"MALE"
"Kimball Garrett","MÂLE : CAT. BARRY","MALE","","sex, dynamicProperties","hidden","EN",1,"MÂLE : CAT. BARRY","",0,"MALE"
"Emily Braker","MÂLE : D'APRÈS LE CAT. BARRY, P. 103","MALE","","sex, dynamicProperties","hidden","EN",5,"MÂLE : D'APRÈS LE CAT. BARRY, P. 103","",0,"MALE"
"Irene Engilis","MÂLE : D'APRÈS LE CAT. BARRY, P. 106","MALE","","sex, dynamicProperties","hidden","FR",2,"MÂLE : D'APRÈS LE CAT. BARRY, P. 106","",0,"MALE"
"Serina Brady","MÂLE : D'APRÈS LE CAT. BARRY, P. 99","MALE","","sex, dynamicProperties","hidden","FR",3,"MÂLE : D'APRÈS LE CAT. BARRY, P. 99","",0,"MALE"
"Carla Cicero","MÂLE : INTERNUPTIAL","MALE","","sex, dynamicProperties","hidden","EN",2,"MÂLE : INTERNUPTIAL","",0,"MALE"
"Laura Abraczinskas","MÂLE : IRIS BRUN","MALE","","sex, dynamicProperties","hidden","FR",1,"MÂLE : IRIS BRUN","",0,"MALE"
"Emily Braker","MÂLE : NOTÉ MÂLE","MALE","","sex","hidden","FR",1,"MÂLE : NOTÉ MÂLE","",0,"MALE"
"John Bates","MÂLE : PHÉNOTYPE","MALE","","sex","hidden","FR",1,"MÂLE : PHÉNOTYPE","",0,"MALE"
"Jessica Tir","MÂLE : PLUMAGE ASSEZ SOMBRE","MALE","","sex, dynamicProperties","hidden","FR",1,"MÂLE : PLUMAGE ASSEZ SOMBRE","",0,"MALE"
"Paul Robert Sweet","MÂLE : SEXE INDIQUÉ SUR L'ÉTIQUETTE","MALE","","sex","hidden","FR",1,"MÂLE : SEXE INDIQUÉ SUR L'ÉTIQUETTE","",0,"MALE"
"Mike Andersen ","MÂLE : SOUS LE SOCLE","MALE","","sex, dynamicProperties","hidden","FR",1,"MÂLE : SOUS LE SOCLE","",0,"MALE"
"Emily Braker","MÂLE : TESTICULES PETIS","MALE","","sex, dynamicProperties","hidden","FR",1,"MÂLE : TESTICULES PETIS","",0,"MALE"
"Jessica Tir","MALE ?","MALE","","sex, dynamicProperties","hidden","EN",2405,"MALE ?","",0,"INDETERMINATE"
"Philip Unitt","MÂLE ?","MALE","","sex, dynamicProperties","hidden","FR",138,"MÂLE ?","",0,"INDETERMINATE"
"Mimi Damwyk","MALE ?; MALE","MALE","","sex, dynamicProperties","hidden","EN",1,"MALE ?; MALE","",0,"INDETERMINATE"
"Lesley Kennes","MALE ?;MALE","MALE","","sex, dynamicProperties","hidden","EN",1,"MALE ?;MALE","",0,"INDETERMINATE"
"Irene Engilis","MALE ?;MALE ?","MALE","","sex, dynamicProperties","hidden","EN",1,"MALE ?;MALE ?","",0,"INDETERMINATE"
"Tonya Haff","MALE (? - SEE NOTE)","MALE","","sex, dynamicProperties","hidden","EN",2,"MALE (? - SEE NOTE)","",0,"INDETERMINATE"
"Jessica Tir","MALE (? - SEE NOTE)/FEMALE (? - SEE NOTE)","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"MALE (? - SEE NOTE)/FEMALE (? - SEE NOTE)","",0,"INDETERMINATE"
"Moe Flannery","MALE (?)","MALE","","sex, dynamicProperties","hidden","EN",78,"MALE (?)","",0,"INDETERMINATE"
"Peter Hosner","MÂLE (?)","MALE","","sex","hidden","FR",1,"MÂLE (?)","",0,"INDETERMINATE"
"Andrew Engilis","MALE (?)/FEMALE","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"MALE (?)/FEMALE","",0,"INDETERMINATE"
"Jessica Tir","MALE ('?MALE' ON LABEL)","MALE","","sex, dynamicProperties","hidden","EN",2,"MALE ('?MALE' ON LABEL)","",0,"INDETERMINATE"
"Laura Abraczinskas","MALE ('PROBABLY')","MALE","","sex, dynamicProperties","hidden","EN",4,"MALE ('PROBABLY')","",0,"MALE"
"Peter Hosner","MALE (BREEDING)","MALE","","sex","hidden","EN",1,"MALE (BREEDING)","",0,"MALE"
"Elizabeth Wommack","MALE (BY GONADS)","MALE","","sex, dynamicProperties","hidden","EN",189,"MALE (BY GONADS)","",0,"MALE"
"Kelly Cassidy","MALE (BY PLUMAGE)","MALE","","sex, dynamicProperties","hidden","EN",121,"MALE (BY PLUMAGE)","",0,"MALE"
"Tonya Haff","MALE (IN TEXT; FEMALE ON LABEL)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALE (IN TEXT; FEMALE ON LABEL)","",0,"MIXED"
"John Bates","MALE (IN TEXT)/FEMALE (ON LABEL)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALE (IN TEXT)/FEMALE (ON LABEL)","",0,"MIXED"
"Ildiko Szabo","MALE (LATER IDENTIFIED AS)","MALE ","","sex","hidden","EN",1,"MALE (LATER IDENTIFIED AS)","",0,"MALE"
"Rachel Alsheikh","MALE (NOT BREEDING)","MALE","","sex, dynamicProperties","hidden","EN",1,"MALE (NOT BREEDING)","",0,"MALE"
"Carla Cicero","MALE (ON LABEL)","MALE","","sex, dynamicProperties","hidden","EN",36,"MALE (ON LABEL)","",0,"MALE"
"Jeremiah Trimble","MALE (ON PLUMAGE)","MALE","","sex, dynamicProperties","hidden","EN",1,"MALE (ON PLUMAGE)","",0,"MALE"
"Peter Hosner","MALE (PLUMAGE)","MALE","","sex","hidden","EN",1,"MALE (PLUMAGE)","",0,"MALE"
"Christopher C Witt","MALE (PRINTED IN ERROR AS FEMALE)","MALE","","sex, dynamicProperties","hidden","EN",1,"MALE (PRINTED IN ERROR AS FEMALE)","",0,"MIXED"
"Chris Milensky","MALE (PROBABLY)","MALE","","sex, dynamicproperties","hidden","EN",1,"MALE (PROBABLY)","",0,"MALE"
"Brian Schmidt","MALE (SEE NOTE)","MALE","","sex, dynamicProperties","hidden","EN",5,"MALE (SEE NOTE)","",0,"MALE"
"Brett Benz","MALE (SEE NOTES)","MALE","","sex, dynamicProperties","hidden","EN",4,"MALE (SEE NOTES)","",0,"MALE"
"Angela Hornsby","MÂLE (SEXAGE DIFFICILE)","MALE","","sex, dynamicProperties","hidden","FR",2,"MÂLE (SEXAGE DIFFICILE)","",0,"MALE"
"Carla Cicero","MALE (SUMMER)","MALE","","sex, dynamicProperties","hidden","EN",1,"MALE (SUMMER)","",0,"MALE"
"Tamaki Yuri","MALE AND A JUVENILE","MALE | UNKNOWN","male","sex, lifestage","hidden","EN",2,"MALE AND A JUVENILE","",0,"MALE"
"Jessica Tir","MALE AND FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",117,"MALE AND FEMALE","",0,"MIXED"
"Tamaki Yuri","MALE AND FEMALES","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",3,"MALE AND FEMALES","",0,"MALE"
"René Corado","MALE AND JUVENILE","MALE","","sex","hidden","EN",1,"MALE AND JUVENILE","",0,"MALE"
"René Corado","MÂLE ET FEMELLE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","FR",2,"MÂLE ET FEMELLE","",0,"MIXED"
"Tom Trombone","MALE FEMALE","MALE | FEMALE","mixed","sex","hidden","EN",10,"MALE FEMALE","",0,"MIXED"
"Tonya Haff","MALE MALE","MALE","","sex, dynamicProperties","hidden","EN",169,"MALE MALE","",0,"MALE"
"Molly Hagemann","MALE, FEMALE AND A JUVENILE","MALE | FEMALE","mixed","sex, dynamicProperties, lifeStage","hidden","EN",29,"MALE, FEMALE AND A JUVENILE","",0,"MIXED"
"Chris Milensky","MALE, FEMALE AND JUVENILE","MALE | FEMALE","mixed","sex, dynamicproperties","hidden","EN",1,"MALE, FEMALE AND JUVENILE","",0,"MIXED"
"Jessica Tir","MALE; FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",12,"MALE; FEMALE","",0,"MIXED"
"Erica Krimmel","MALE; FEMALE ?","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALE; FEMALE ?","",0,"INDETERMINATE"
"Carla Cicero","MALE; MALE","MALE","","sex","hidden","EN",360,"MALE; MALE","",0,"MALE"
"Town Peterson","MALE; MALE ?","MALE","","sex, dynamicProperties","hidden","EN",1,"MALE; MALE ?","",0,"INDETERMINATE"
"Irene Engilis","MALE; MALE; MALE","MALE","","sex","hidden","EN",1,"MALE; MALE; MALE","",0,"MALE"
"Jean Woods","MALE; UNKNOWN","MALE | UNKNOWN","male","sex, dynamicProperties","hidden","EN",3,"MALE; UNKNOWN","",0,"MALE"
"Brian Schmidt","MALE;;","MALE","","sex","hidden","EN",1,"MALE;;","",0,"MALE"
"Carla Cicero","MALE;FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",6,"MALE;FEMALE","",0,"MIXED"
"Stephen Rogers","MALE;MALE","MALE","","sex","hidden","EN",94,"MALE;MALE","",0,"MALE"
"Angela Hornsby","MALE;MALE;MALE","MALE","","sex","hidden","EN",1,"MALE;MALE;MALE","",0,"MALE"
"Mike Andersen ","MALE;NOT RECORDED","MALE","","sex, dynamicProperties","hidden","EN",1,"MALE;NOT RECORDED","",0,"MALE"
"Mike Andersen ","MALE;RECORDED AS UNKNOWN","MALE","","sex, dynamicProperties","hidden","EN",8,"MALE;RECORDED AS UNKNOWN","",0,"MALE"
"Christopher C Witt","MALE;UNKNOWN","MALE | UNKNOWN","male","sex, dynamicProperties","hidden","EN",11,"MALE;UNKNOWN","",0,"MALE"
"Andy Jones","MALE?","MALE","","sex, dynamicProperties","hidden","EN",618,"MALE?","",0,"INDETERMINATE"
"Paul Robert Sweet","MALE(S) & FEMALE(S)","UNKNOWN","","sex, dynamicProperties","hidden","EN",5,"MALE(S) & FEMALE(S)","",0,"MIXED"
"John Bates","MALE(S) AND FEMALE(S)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALE(S) AND FEMALE(S)","",0,"MIXED"
"Erick Alejandro García-Trejo","MALE/FEMALE","MALE | FEMALE","mixed","sex","preferred","EN",6,"MALE/FEMALE","",0,"MIXED"
"John Bates","MALE/FEMALE (IN TEXT)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALE/FEMALE (IN TEXT)","",0,"MIXED"
"Rachel Alsheikh","MALE/FEMALE (LABELLED AS)","UNKNOWN","","sex","hidden","EN",1,"MALE/FEMALE (LABELLED AS)","",0,"MIXED"
"Brian Schmidt","MALE/FEMALE (ON LABEL)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",2,"MALE/FEMALE (ON LABEL)","",0,"MIXED"
"Brian Schmidt","MALE/FEMALE FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALE/FEMALE FEMALE","",0,"MIXED"
"Ildiko Szabo","MALE/FEMALE MALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALE/FEMALE MALE","",0,"MIXED"
"Erick Alejandro García-Trejo","MALES","MALE","","sex","hidden","EN",3,"MALES","",0,"UNSPECIFIED"
"Carla Cicero","MALES AND FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALES AND FEMALE","",0,"FEMALE"
"Peter Hosner","MALES AND FEMALES","UNKNOWN","","sex","hidden","EN",28,"MALES AND FEMALES","",0,"UNSPECIFIED"
"Erick Alejandro García-Trejo","MALES AND ONE FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALES AND ONE FEMALE","",0,"FEMALE"
"Christopher C Witt","MALES, FEMALES","MALE | FEMALE","mixed","sex","alternate","EN",2,"MALES, FEMALES","",0,"UNSPECIFIED"
"Peter Hosner","MASCLE","MALE","","sex","preferred","CA",7103,"MASCLE","",0,"MALE"
"Irene Engilis","MASCLE | FEMELLA","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","CA",7,"MASCLE | FEMELLA","",0,"MIXED"
"Town Peterson","MASCLE | INDETERMINABLE","UNKNOWN","","sex","hidden","EN",3,"MASCLE | INDETERMINABLE","",0,"MALE"
"René Corado","MASCLE |FEMELLA","MALE | FEMALE ","mixed","sex, dynamicProperties","hidden","CA",1,"MASCLE |FEMELLA","",0,"MIXED"
"John Bates","MASCULINA","MALE","","sex","hidden","ES",185,"MASCULINA","",0,"UNSPECIFIED"
"Irene Engilis","MASCULINO","MALE","","sex","hidden","ES",1178,"MASCULINO","",0,"MALE"
"Elizabeth Wommack","MF","MALE | FEMALE","mixed","sex","hidden","EN",7,"MF","",0,"UNSPECIFIED"
"Andrew Engilis","MIXED","ATYPICAL","","sex","hidden","EN",33,"MIXED","",0,"ATYPICAL"
"John Bates","N","UNKNOWN","","sex","hidden","EN",20,"N","",0,"UNSPECIFIED"
"Ildiko Szabo","N/A","blank","not specified","sex","","",7,"N/A","",0,"ATYPICAL"
"Mike Andersen ","NO APLICABLE","UNKNOWN","","sex","hidden","ES",775,"NO APLICABLE","",0,"UNSPECIFIED"
"Chris Milensky","NO DATA","UNKNOWN","","sex, dynamicProperties","hidden","EN",2,"NO DATA","",0,"UNSPECIFIED"
"Angela Hornsby","NO DISPONIBLE","UNKNOWN","","sex","alternate","ES",41844,"NO DISPONIBLE","",0,"UNSPECIFIED"
"Rachel Alsheikh","NON  DÉT.","UNKNOWN","","sex","hidden","FR",1,"NON  DÉT.","",0,"UNSPECIFIED"
"René Corado","NON DÉT.","UNKNOWN","","sex","hidden","FR",14,"NON DÉT.","",0,"UNKNOWN"
"René Corado","NOT","UNKNOWN","","sex","hidden","EN",130,"NOT","",0,"UNSPECIFIED"
"Erica Krimmel","NOT DETERMINED","UNKNOWN","","sex","alternate","EN",139,"NOT DETERMINED","",0,"UNSPECIFIED"
"Molly Hagemann","NOT RECORDED","UNKNOWN","","sex","alternate","EN",10420,"NOT RECORDED","",0,"UNSPECIFIED"
"René Corado","NOT RECORDED;FEMALE","UNKNOWN | FEMALE","female","sex","hidden","EN",4,"NOT RECORDED;FEMALE","",0,"FEMALE"
"Mike Andersen ","NOT RECORDED;MALE","MALE","","sex, dynamicProperties","hidden","EN",2,"NOT RECORDED;MALE","",0,"MALE"
"Mimi Damwyk","NOT RECORDED;UNKNOWN","UNKNOWN","","sex","hidden","EN",2,"NOT RECORDED;UNKNOWN","",0,"UNKNOWN"
"Kimball Garrett","O","UNKNOWN","","sex","hidden","EN",2,"O","",0,"UNSPECIFIED"
"Paul Robert Sweet","O?","UNKNOWN","","sex","hidden","",157,"O?","",0,"INDETERMINATE"
"Erica Krimmel","O? FILHOTE","blank","indeterminate","lifeStage","","PT",1,"O? FILHOTE","",0,"INDETERMINATE"
"Tonya Haff","O? JOV.","blank","indeterminate","lifeStage","","ES",1,"O? JOV.","",0,"INDETERMINATE"
"Mike Andersen ","P","blank","not specified","sex, dynamicProperties","","",83,"P","",0,"UNSPECIFIED"
"Christopher C Witt","PLUMAGE D'HIVER","blank","not specified","dynamicProperties","","FR",1,"PLUMAGE D'HIVER","",0,"UNSPECIFIED"
"Jean Woods","PLUMAGE ÉTÉ/NUPTIAL","blank","not specified","lifeStage","","FR",1,"PLUMAGE ÉTÉ/NUPTIAL","",0,"UNSPECIFIED"
"Jean Woods","POSIBLEMENTE HEMBRA","FEMALE","indeterminate","sex, dynamicProperties","hidden","ES",4,"POSIBLEMENTE HEMBRA","",0,"FEMALE"
"Christopher C Witt","POSIBLEMENTE MACHO","MALE","","sex, dynamicProperties","hidden","ES",1,"POSIBLEMENTE MACHO","",0,"MALE"
"Stephen Rogers","PROBABLY FEMALE (JUDGING FROM WING LENGTH)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"PROBABLY FEMALE (JUDGING FROM WING LENGTH)","",0,"FEMALE"
"Irene Engilis","PUPPY","blank","not specified","lifeStage","","EN",1,"PUPPY","",0,"UNSPECIFIED"
"Emily Braker","RECORDED AS UNKNOWN","UNKNOWN","","sex","hidden","EN",4125,"RECORDED AS UNKNOWN","",0,"UNKNOWN"
"John Bates","RECORDED AS UNKNOWN; FEMALE","FEMALE","female","sex","hidden","EN",1,"RECORDED AS UNKNOWN; FEMALE","",0,"FEMALE"
"Town Peterson","RECORDED AS UNKNOWN; MALE","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"RECORDED AS UNKNOWN; MALE","",0,"MALE"
"Brett Benz","RECORDED AS UNKNOWN;FEMALE","UNKNOWN | FEMALE","female","sex, dynamicProperties","hidden","EN",9,"RECORDED AS UNKNOWN;FEMALE","",0,"FEMALE"
"Jean Woods","RECORDED AS UNKNOWN;MALE","UNKNOWN | MALE","male","sex, dynamicProperties","hidden","EN",7,"RECORDED AS UNKNOWN;MALE","",0,"MALE"
"Tonya Haff","RECORDED AS UNKNOWN;RECORDED AS UNKNOWN","UNKNOWN","","sex","hidden","EN",5,"RECORDED AS UNKNOWN;RECORDED AS UNKNOWN","",0,"UNKNOWN"
"Jessica Tir","RECORDED AS UNKNOWN;UNKNOWN","UNKNOWN","","sex","hidden","EN",7,"RECORDED AS UNKNOWN;UNKNOWN","",0,"UNKNOWN"
"Tonya Haff","S","blank","not specified","","","EN",17,"S","",0,"UNSPECIFIED"
"Peter Hosner","SEX UNKNOWN","UNKNOWN","","sex","hidden","EN",230,"SEX UNKNOWN","",0,"UNKNOWN"
"Stephen Rogers","SEX?","UNKNOWN","","sex","hidden","EN",1,"SEX?","",0,"INDETERMINATE"
"Jean Woods","SEXE : FEMELLE","FEMALE","female","sex","hidden","FR",41,"SEXE : FEMELLE","",0,"FEMALE"
"Jessica Tir","SEXE : MÂLE","MALE","","sex","hidden","FR",87,"SEXE : MÂLE","",0,"MALE"
"Jean Woods","SEXE INDÉTERMINÉ","UNKNOWN","","sex","hidden","FR",402,"SEXE INDÉTERMINÉ","",0,"UNSPECIFIED"
